QueryId,EntityId,Relevance
INEX_LD-2009022,"<dbpedia:Afghan_cuisine>",0
INEX_LD-2009022,"<dbpedia:Akan_cuisine>",0
INEX_LD-2009022,"<dbpedia:Ambuyat>",0
INEX_LD-2009022,"<dbpedia:American_Chinese_cuisine>",1
INEX_LD-2009022,"<dbpedia:Ants_climbing_a_tree>",2
INEX_LD-2009022,"<dbpedia:Baingan_bharta>",1
INEX_LD-2009022,"<dbpedia:Bamischijf>",0
INEX_LD-2009022,"<dbpedia:Black_cardamom>",0
INEX_LD-2009022,"<dbpedia:Brazilian_cuisine>",0
INEX_LD-2009022,"<dbpedia:British_cuisine>",0
INEX_LD-2009022,"<dbpedia:Caribbean_cuisine>",0
INEX_LD-2009022,"<dbpedia:Cayenne_pepper>",0
INEX_LD-2009022,"<dbpedia:Cellophane_noodles>",1
INEX_LD-2009022,"<dbpedia:Ceviche>",0
INEX_LD-2009022,"<dbpedia:Chana_masala>",0
INEX_LD-2009022,"<dbpedia:Chen_Kenichi>",1
INEX_LD-2009022,"<dbpedia:Chen_Kenmin>",1
INEX_LD-2009022,"<dbpedia:Chicago-style_pizza>",0
INEX_LD-2009022,"<dbpedia:Chicken_(food)>",0
INEX_LD-2009022,"<dbpedia:Chifle>",0
INEX_LD-2009022,"<dbpedia:Chili_oil>",2
INEX_LD-2009022,"<dbpedia:Chinatown,_Los_Angeles>",0
INEX_LD-2009022,"<dbpedia:Chinatown>",1
INEX_LD-2009022,"<dbpedia:Chinese_cuisine>",2
INEX_LD-2009022,"<dbpedia:Churumuri_(food)>",0
INEX_LD-2009022,"<dbpedia:Cookbook>",0
INEX_LD-2009022,"<dbpedia:Cooking>",0
INEX_LD-2009022,"<dbpedia:Couscous>",0
INEX_LD-2009022,"<dbpedia:Cuban_cuisine>",0
INEX_LD-2009022,"<dbpedia:Cuisine>",0
INEX_LD-2009022,"<dbpedia:Cuisine_of_Jharkhand>",0
INEX_LD-2009022,"<dbpedia:Cuisine_of_the_Southern_United_States>",0
INEX_LD-2009022,"<dbpedia:Cuisine_of_the_United_States>",0
INEX_LD-2009022,"<dbpedia:Culture_of_the_Song_dynasty>",0
INEX_LD-2009022,"<dbpedia:Curry>",0
INEX_LD-2009022,"<dbpedia:Dal_dhokli>",0
INEX_LD-2009022,"<dbpedia:Ding_Baozhen>",0
INEX_LD-2009022,"<dbpedia:Dish_(food)>",0
INEX_LD-2009022,"<dbpedia:Doubanjiang>",1
INEX_LD-2009022,"<dbpedia:Drunken_shrimp>",0
INEX_LD-2009022,"<dbpedia:Escabeche>",0
INEX_LD-2009022,"<dbpedia:Fermentation_in_food_processing>",0
INEX_LD-2009022,"<dbpedia:Food_presentation>",0
INEX_LD-2009022,"<dbpedia:Fried_rice>",0
INEX_LD-2009022,"<dbpedia:Fuchsia_Dunlop>",1
INEX_LD-2009022,"<dbpedia:Fufu>",0
INEX_LD-2009022,"<dbpedia:Fuqi_feipian>",2
INEX_LD-2009022,"<dbpedia:Gastronomy>",0
INEX_LD-2009022,"<dbpedia:General_Tso's_chicken>",0
INEX_LD-2009022,"<dbpedia:German_cuisine>",0
INEX_LD-2009022,"<dbpedia:Ghanaian_cuisine>",0
INEX_LD-2009022,"<dbpedia:Global_cuisine>",0
INEX_LD-2009022,"<dbpedia:Gondi_dumpling>",0
INEX_LD-2009022,"<dbpedia:Greek_cuisine>",0
INEX_LD-2009022,"<dbpedia:Guizhou_cuisine>",1
INEX_LD-2009022,"<dbpedia:Guoba>",2
INEX_LD-2009022,"<dbpedia:Ham_salad>",0
INEX_LD-2009022,"<dbpedia:Harees>",0
INEX_LD-2009022,"<dbpedia:Hazaragi_cuisine>",0
INEX_LD-2009022,"<dbpedia:History_of_Chinese_cuisine>",1
INEX_LD-2009022,"<dbpedia:Hong_Kong_cuisine>",0
INEX_LD-2009022,"<dbpedia:Hot_and_sour_soup>",1
INEX_LD-2009022,"<dbpedia:Hot_pot>",2
INEX_LD-2009022,"<dbpedia:Hot_sauce>",1
INEX_LD-2009022,"<dbpedia:Huaiyang_cuisine>",0
INEX_LD-2009022,"<dbpedia:Hunan_cuisine>",0
INEX_LD-2009022,"<dbpedia:Indian_Chinese_cuisine>",1
INEX_LD-2009022,"<dbpedia:Indian_Singaporean_cuisine>",0
INEX_LD-2009022,"<dbpedia:Indian_cuisine>",0
INEX_LD-2009022,"<dbpedia:Indonesian_cuisine>",0
INEX_LD-2009022,"<dbpedia:Italian_cuisine>",0
INEX_LD-2009022,"<dbpedia:Kebab>",0
INEX_LD-2009022,"<dbpedia:Khmer_(food)>",0
INEX_LD-2009022,"<dbpedia:Knieperkohl>",0
INEX_LD-2009022,"<dbpedia:Korean_cuisine>",0
INEX_LD-2009022,"<dbpedia:Korean_royal_court_cuisine>",0
INEX_LD-2009022,"<dbpedia:Kung_Pao_chicken>",1
INEX_LD-2009022,"<dbpedia:Latin_American_cuisine>",0
INEX_LD-2009022,"<dbpedia:Lechon>",0
INEX_LD-2009022,"<dbpedia:List_of_Asian_cuisines>",0
INEX_LD-2009022,"<dbpedia:List_of_Chinese_dishes>",1
INEX_LD-2009022,"<dbpedia:List_of_cuisines>",0
INEX_LD-2009022,"<dbpedia:List_of_egg_dishes>",0
INEX_LD-2009022,"<dbpedia:List_of_foods>",0
INEX_LD-2009022,"<dbpedia:List_of_potato_dishes>",0
INEX_LD-2009022,"<dbpedia:Mala_sauce>",2
INEX_LD-2009022,"<dbpedia:Malay_cuisine>",0
INEX_LD-2009022,"<dbpedia:Mangú>",0
INEX_LD-2009022,"<dbpedia:Mapo_doufu>",2
INEX_LD-2009022,"<dbpedia:Mexican_cuisine>",0
INEX_LD-2009022,"<dbpedia:National_dish>",0
INEX_LD-2009022,"<dbpedia:Omelette>",0
INEX_LD-2009022,"<dbpedia:Osh_(food)>",0
INEX_LD-2009022,"<dbpedia:Outline_of_cuisines>",0
INEX_LD-2009022,"<dbpedia:Outline_of_food_preparation>",0
INEX_LD-2009022,"<dbpedia:Pao_cai>",1
INEX_LD-2009022,"<dbpedia:Pasta>",0
INEX_LD-2009022,"<dbpedia:Philippine_cuisine>",0
INEX_LD-2009022,"<dbpedia:Pichanga_(dish)>",0
INEX_LD-2009022,"<dbpedia:Pilaf>",0
INEX_LD-2009022,"<dbpedia:Porridge>",0
INEX_LD-2009022,"<dbpedia:Regional_cuisine>",0
INEX_LD-2009022,"<dbpedia:Roast_beef>",0
INEX_LD-2009022,"<dbpedia:Run_down>",0
INEX_LD-2009022,"<dbpedia:Sanna_(dish)>",0
INEX_LD-2009022,"<dbpedia:Seafood_dishes>",0
INEX_LD-2009022,"<dbpedia:Shuizhu>",2
INEX_LD-2009022,"<dbpedia:Shun_Lee_Palace>",0
INEX_LD-2009022,"<dbpedia:Sichuan>",1
INEX_LD-2009022,"<dbpedia:Sichuan_cuisine>",1
INEX_LD-2009022,"<dbpedia:Sichuan_pepper>",1
INEX_LD-2009022,"<dbpedia:Side_dish>",0
INEX_LD-2009022,"<dbpedia:Sinki_(food)>",1
INEX_LD-2009022,"<dbpedia:Staple_food>",0
INEX_LD-2009022,"<dbpedia:Street_food>",0
INEX_LD-2009022,"<dbpedia:Suanla_chaoshou>",2
INEX_LD-2009022,"<dbpedia:Sundanese_cuisine>",0
INEX_LD-2009022,"<dbpedia:Tahini>",0
INEX_LD-2009022,"<dbpedia:Taiwanese_cuisine>",0
INEX_LD-2009022,"<dbpedia:Thai_cuisine>",0
INEX_LD-2009022,"<dbpedia:Tongue>",0
INEX_LD-2009022,"<dbpedia:Traditional_food>",0
INEX_LD-2009022,"<dbpedia:Turkish_cuisine>",0
INEX_LD-2009022,"<dbpedia:Twelve-dish_Christmas_Eve_supper>",0
INEX_LD-2009022,"<dbpedia:Twice_cooked_pork>",2
INEX_LD-2009022,"<dbpedia:Urap>",0
INEX_LD-2009022,"<dbpedia:Vicia_faba>",1
