QueryId,DocumentId
251,clueweb12-0109wb-20-20925
251,clueweb12-1910wb-97-27253
251,clueweb12-0706wb-72-04683
251,clueweb12-1414wb-55-24601
251,clueweb12-1812wb-69-05591
251,clueweb12-0001wb-61-14139
251,clueweb12-1412wb-23-11164
251,clueweb12-1503wb-27-04834
251,clueweb12-0710wb-68-06353
251,clueweb12-0605wb-45-20110
251,clueweb12-1801wb-75-03214
251,clueweb12-0813wb-59-12212
251,clueweb12-1411wb-86-24279
251,clueweb12-0112wb-44-22651
251,clueweb12-0402wb-83-04974
251,clueweb12-0609wb-12-22829
251,clueweb12-0110wb-93-29641
251,clueweb12-1912wb-65-25306
251,clueweb12-0900tw-08-19187
251,clueweb12-1910wb-61-04398
251,clueweb12-0700wb-20-22975
251,clueweb12-1004wb-00-20702
251,clueweb12-1910wb-36-10033
251,clueweb12-0706wb-72-04713
251,clueweb12-1401wb-01-06927
251,clueweb12-1013wb-15-30773
251,clueweb12-1007wb-38-18899
251,clueweb12-1414wb-69-21961
251,clueweb12-1412wb-40-17282
251,clueweb12-1911wb-72-02483
251,clueweb12-1115wb-28-22289
251,clueweb12-0400wb-20-35795
251,clueweb12-1310wb-72-29620
251,clueweb12-1908wb-89-06577
251,clueweb12-1709wb-17-00721
251,clueweb12-0503wb-03-09908
251,clueweb12-0400wb-50-06922
251,clueweb12-0302wb-50-22339
251,clueweb12-0610wb-52-02773
251,clueweb12-0008wb-68-25416
251,clueweb12-0211wb-73-14210
251,clueweb12-0703wb-81-19022
251,clueweb12-1706wb-10-02613
251,clueweb12-1013wb-43-20520
251,clueweb12-0919wb-95-08136
251,clueweb12-0007wb-42-14369
251,clueweb12-0910wb-01-05997
251,clueweb12-1200wb-37-09895
251,clueweb12-0707wb-58-10338
251,clueweb12-0302wb-33-32222
251,clueweb12-0300wb-19-13046
251,clueweb12-0702wb-30-23512
251,clueweb12-0303wb-73-15207
251,clueweb12-1705wb-33-15411
251,clueweb12-1400wb-69-18336
251,clueweb12-0707wb-37-19271
251,clueweb12-0202wb-49-10113
251,clueweb12-0013wb-19-00083
251,clueweb12-0312wb-14-01083
251,clueweb12-0301wb-07-06074
251,clueweb12-0900tw-83-04095
251,clueweb12-1610wb-87-26062
251,clueweb12-0211wb-99-27646
251,clueweb12-1910wb-42-00586
251,clueweb12-0300wb-82-24885
251,clueweb12-0203wb-87-13374
251,clueweb12-0012wb-15-23628
251,clueweb12-0512wb-35-16083
251,clueweb12-0502wb-93-28130
251,clueweb12-1713wb-30-10909
251,clueweb12-0111wb-37-12778
251,clueweb12-0201wb-88-16485
251,clueweb12-1013wb-38-13071
251,clueweb12-0100wb-14-14267
251,clueweb12-1013wb-37-14849
251,clueweb12-0105wb-03-14816
251,clueweb12-1610wb-34-27046
251,clueweb12-1203wb-94-24636
251,clueweb12-0914wb-55-06518
251,clueweb12-0103wb-15-15802
251,clueweb12-1911wb-63-05938
251,clueweb12-1000tw-03-03557
251,clueweb12-0110wb-33-32233
251,clueweb12-0610wb-29-30160
251,clueweb12-0009wb-84-05363
251,clueweb12-0303wb-06-10702
251,clueweb12-1006wb-82-24719
251,clueweb12-0000wb-97-19065
251,clueweb12-1013wb-44-20057
251,clueweb12-0301wb-21-18269
251,clueweb12-0817wb-93-15824
251,clueweb12-1911wb-26-21658
251,clueweb12-0303wb-53-01893
251,clueweb12-0701wb-19-10456
251,clueweb12-0210wb-51-22007
251,clueweb12-1212wb-51-12604
251,clueweb12-0406wb-29-05674
251,clueweb12-0604wb-61-23808
251,clueweb12-1508wb-91-16737
251,clueweb12-1911wb-86-16223
252,clueweb12-0818wb-81-06717
252,clueweb12-0904wb-10-06820
252,clueweb12-0905wb-29-17120
252,clueweb12-1110wb-87-15284
252,clueweb12-0905wb-29-17092
252,clueweb12-0818wb-53-25680
252,clueweb12-0819wb-08-17813
252,clueweb12-0900wb-33-02600
252,clueweb12-0818wb-84-22476
252,clueweb12-0104wb-20-32858
252,clueweb12-0818wb-65-21548
252,clueweb12-1216wb-32-00776
252,clueweb12-0204wb-12-05197
252,clueweb12-1206wb-40-25914
252,clueweb12-0204wb-67-34775
252,clueweb12-1812wb-34-25938
252,clueweb12-0201wb-50-22141
252,clueweb12-0610wb-01-14292
252,clueweb12-0712wb-68-01781
252,clueweb12-0206wb-66-09890
252,clueweb12-0712wb-54-10308
252,clueweb12-0712wb-52-05456
252,clueweb12-0712wb-25-26186
252,clueweb12-0205wb-63-22793
252,clueweb12-1305wb-70-04836
252,clueweb12-1305wb-70-04822
252,clueweb12-0606wb-08-19303
252,clueweb12-0703wb-64-09103
252,clueweb12-1315wb-47-10184
252,clueweb12-0310wb-27-15607
252,clueweb12-0206wb-85-26536
252,clueweb12-0209wb-21-27256
252,clueweb12-0911wb-12-05178
252,clueweb12-0206wb-46-19660
252,clueweb12-0605wb-45-02627
252,clueweb12-0205wb-27-10435
252,clueweb12-0205wb-00-08202
252,clueweb12-0205wb-76-16106
252,clueweb12-0205wb-33-23219
252,clueweb12-0205wb-11-06502
252,clueweb12-0206wb-62-21203
252,clueweb12-0206wb-16-15736
252,clueweb12-0205wb-58-33124
252,clueweb12-0204wb-91-10293
252,clueweb12-0205wb-41-23589
252,clueweb12-0205wb-19-09648
252,clueweb12-0206wb-02-00490
252,clueweb12-0206wb-87-28974
252,clueweb12-0914wb-47-13282
252,clueweb12-0206wb-81-26397
252,clueweb12-0203wb-82-12634
252,clueweb12-0206wb-95-28927
252,clueweb12-0206wb-09-28182
252,clueweb12-0106wb-84-00867
252,clueweb12-0207wb-09-32957
252,clueweb12-0713wb-39-03441
252,clueweb12-1908wb-12-16646
252,clueweb12-0203wb-72-13865
252,clueweb12-1105wb-57-27836
252,clueweb12-0709wb-24-01605
252,clueweb12-0700wb-07-20870
252,clueweb12-0108wb-19-07453
252,clueweb12-0714wb-51-21822
252,clueweb12-1907wb-11-28137
252,clueweb12-0110wb-75-32685
252,clueweb12-0705wb-84-28693
252,clueweb12-0305wb-26-29429
252,clueweb12-0111wb-92-17865
252,clueweb12-0603wb-82-18322
252,clueweb12-1900tw-39-01993
252,clueweb12-0206wb-54-22903
252,clueweb12-0209wb-96-17194
252,clueweb12-1804wb-00-13582
252,clueweb12-0713wb-58-03136
252,clueweb12-0200wb-91-17629
252,clueweb12-1902wb-74-11582
252,clueweb12-0606wb-57-08692
252,clueweb12-0207wb-09-22511
252,clueweb12-1203wb-95-18687
252,clueweb12-0605wb-84-18851
252,clueweb12-0208wb-42-27477
252,clueweb12-1607wb-64-16360
252,clueweb12-0605wb-54-12788
252,clueweb12-1902wb-76-29540
252,clueweb12-1614wb-75-03141
252,clueweb12-0911wb-88-09634
252,clueweb12-1902wb-71-27146
252,clueweb12-0202wb-85-26867
